Year,Tools,USED
2021,N/A,
2012,JFCM,yes
2023,Tetrad,yes
2022,N/A,
2020,N/A,
2019,N/A,
2013,N/A,
2012,N/A,
2020,N/A,
2021,N/A,
2013,N/A,
2019,N/A,
2021,N/A,
2021,N/A,
2015,N/A,
2017,N/A,
2022,pgmpy;pyAgrum,yes
2023,causal-learn;Causality,yes
2023,dowhy,yes
2022,causal-learn,yes
2020,N/A,
2004,Bayes-Net,yes
2021,N/A,
2011,N/A,
2023,N/A,
2021,N/A,
2016,N/A,
2010,N/A,
2022,N/A,
2015,N/A,
2022,causal-learn,yes
2014,N/A,
2023,N/A,
2023,Tetrad;dowhy,yes
2021,CausalDiscoveryToolbox;LiNGAM,yes
2021,N/A,
2022,N/A,
2021,N/A,
2020,N/A,
2022,N/A,
2022,dowhy,yes
2023,N/A,
2023,dowhy,yes
2023,N/A,
2023,EconML;DeepIV,yes
2023,N/A,
2020,N/A,
2015,N/A,
2022,N/A,
2022,N/A,
2024,pyAgrum,yes
2023,IBM SPSS Amos,yes
2023,N/A,
2019,N/A,
2016,N/A,
2018,N/A,
2018,N/A,
2022,N/A,
2023,N/A,
2024,N/A,
2022,N/A,
2020,N/A,
2024,Tetrad;dowhy;pycausal,yes
2024,N/A,
2012,N/A,
2014,N/A,
2013,N/A,
2023,N/A,
2023,N/A,
2023,N/A,
2022,N/A,
2021,N/A,
2020,N/A,
2014,N/A,
2003,N/A,
2023,N/A,
2023,N/A,
2021,N/A,
2022,N/A,
2021,N/A,
2021,N/A,
2024,causal-learn,yes
2018,N/A,
2015,N/A,
2023,causal-learn,yes
2019,matchit,yes
